record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
2192,Yes,No,Yes,16 years old,Female,0 times,0 times,Rarely,2,0 days,Most of the time,Sometimes,No,No,No,No,No
2193,No,No,No,16 years old,Female,0 times,0 times,Rarely,2,0 days,Sometimes,Rarely,No,No,No,No,No
2200,No,No,No,13 years old,Male,1 time,0 times,Never,1,0 days,Most of the time,Always,No,No,No,Yes,No
2205,Yes,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Never,No,No,No,No,No
2206,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
2209,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
2210,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Never,Sometimes,No,No,No,No,No
2213,Yes,Yes,Yes,15 years old,Male,2 or 3 times,6 or 7 times,Always,2,0 days,Sometimes,Never,Yes,No,No,Yes,No
2214,Yes,Yes,No,14 years old,Female,2 or 3 times,2 or 3 times,Sometimes,3 or more,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
2215,Yes,Yes,Yes,15 years old,Female,0 times,1 time,Sometimes,2,0 days,Sometimes,Sometimes,No,No,No,No,No
2216,No,Yes,Yes,16 years old,Male,2 or 3 times,1 time,Most of the time,2,0 days,Rarely,Rarely,Yes,No,No,No,No
2218,No,No,Yes,14 years old,Male,1 time,2 or 3 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No,No,Yes,No
2219,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Always,Never,No,No,No,Yes,No
2222,Yes,No,No,14 years old,Female,0 times,12 or more times,Always,0,0 days,Sometimes,Never,Yes,No,No,No,No
2224,No,No,No,14 years old,Male,0 times,1 time,Rarely,2,0 days,Sometimes,Most of the time,No,No,No,Yes,No
2225,No,No,No,16 years old,Female,1 time,1 time,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
2227,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
2228,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Sometimes,No,No,Yes,No,No
2229,No,No,No,15 years old,Male,0 times,0 times,Never,2,0 days,Most of the time,Rarely,No,No,No,No,No
2230,No,Yes,Yes,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Never,No,No,No,No,No
2231,No,No,No,16 years old,Female,0 times,0 times,Rarely,2,1 or 2 days,Sometimes,Sometimes,No,Yes,No,No,No
2233,No,No,No,15 years old,Male,0 times,0 times,Never,0,0 days,Sometimes,Sometimes,No,No,No,No,No
2235,Yes,Yes,Yes,16 years old,Male,12 or more times,0 times,Sometimes,3 or more,3 to 5 days,Sometimes,Most of the time,No,Yes,No,Yes,No
2236,No,No,Yes,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
